title,section,url
Social Anxiety and Social Phobia in Youth,Behavioral Science,https://link.springer.com/content/pdf/10.1007%2Fb99417.pdf
Clinical Neuroanatomy,Behavioral Science,https://link.springer.com/content/pdf/10.1007%2F978-0-387-36601-2.pdf
Acquired Brain Injury,Behavioral Science,https://link.springer.com/content/pdf/10.1007%2F978-0-387-37575-5.pdf
"Psychology, Religion, and Spirituality",Behavioral Science,https://link.springer.com/content/pdf/10.1007%2F978-0-387-87573-6.pdf
Child Neuropsychology,Behavioral Science,https://link.springer.com/content/pdf/10.1007%2F978-0-387-88963-4.pdf
Clinical Assessment of Child and Adolescent Personality and Behavior,Behavioral Science,https://link.springer.com/content/pdf/10.1007%2F978-1-4419-0641-0.pdf
A Clinical Guide to the Treatment of the Human Stress Response,Behavioral Science,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-5538-7.pdf
The Psychology of Social Status,Behavioral Science,https://link.springer.com/content/pdf/10.1007%2F978-1-4939-0867-7.pdf
Psychoeducational Assessment and Report Writing,Behavioral Science,https://link.springer.com/content/pdf/10.1007%2F978-1-4939-1911-6.pdf
Evidence-Based Interventions for Children with Challenging Behavior,Behavioral Science,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-7807-2.pdf
MATLAB for Psychologists,Behavioral Science,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-2197-9.pdf
International Perspectives on Psychotherapy,Behavioral Science and Psychology,https://link.springer.com/content/pdf/10.1007%2F978-3-319-56194-3.pdf
Applied Behavior Analysis,Behavioral Science and Psychology,https://link.springer.com/content/pdf/10.1007%2F978-3-319-44794-0.pdf
Psychology of Perception,Behavioral Science and Psychology,https://link.springer.com/content/pdf/10.1007%2F978-3-319-31791-5.pdf
Handbook of Consumer Finance Research,Behavioral Science and Psychology,https://link.springer.com/content/pdf/10.1007%2F978-3-319-28887-1.pdf
Clinical Methods in Medical Family Therapy,Behavioral Science and Psychology,https://link.springer.com/content/pdf/10.1007%2F978-3-319-68834-3.pdf
Motivation and Action,Behavioral Science and Psychology,https://link.springer.com/content/pdf/10.1007%2F978-3-319-65094-4.pdf
Perceptual Organization,Behavioral Science and Psychology,https://link.springer.com/content/pdf/10.1007%2F978-3-319-96337-2.pdf
Evidence-Based Practice in Clinical Social Work,Behavioral Science and Psychology,https://link.springer.com/content/pdf/10.1007%2F978-3-030-15224-6.pdf
Foundations of Behavioral Health,Behavioral Science and Psychology,https://link.springer.com/content/pdf/10.1007%2F978-3-030-18435-3.pdf
Social Psychology in Action,Behavioral Science and Psychology,https://link.springer.com/content/pdf/10.1007%2F978-3-030-13788-5.pdf
Developmental Neurobiology,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F0-387-28117-7.pdf
Handbook of Biological Confocal Microscopy,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-0-387-45524-2.pdf
Fundamentals of Biomechanics,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-0-387-49312-1.pdf
Plant Physiological Ecology,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-0-387-78341-3.pdf
The Joy of Science,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-1-4020-6099-1.pdf
Metabolism of Human Diseases,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-3-7091-0715-7.pdf
Integrative Human Biochemistry,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-1-4939-3058-6.pdf
Integrated Neuroscience,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-1-4615-1077-2.pdf
Fundamentals of Biomechanics,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-3-319-44738-4.pdf
Human Chromosomes,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-1-4613-0139-4.pdf
Phylogenomics,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-3-319-54064-1.pdf
Principles of Terrestrial Ecosystem Ecology,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-1-4419-9504-9.pdf
Learning Landscape Ecology,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-1-4939-6374-4.pdf
Epidemiological Research Terms and Concepts,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-94-007-1171-6.pdf
Statistical Analysis of Clinical Data on a Pocket Calculator,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-94-007-1211-9.pdf
Clinical Data Analysis on a Pocket Calculator,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-3-319-27104-0.pdf
Essentials of Cerebellum and Cerebellar Disorders,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-3-319-24551-5.pdf
"Handbook of Cardiac Anatomy, Physiology, and Devices",Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-3-319-19464-6.pdf
The Gastrointestinal System,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-94-017-8771-0.pdf
SPSS for Starters and 2nd Levelers,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-3-319-20600-4.pdf
Machine Learning in Medicine - a Complete Overview,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-3-319-15195-3.pdf
Pharmaceutical Biotechnology,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-6486-0.pdf
An Introduction to Biomechanics,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-1-4939-2623-7.pdf
